company,url,archive_url,link_text,context,filename,sha256,local_path,document_type,classification_score,report_year,status,error
nestle,https://www.nestle.com/asset-library/Documents/Library/Documents/Financial_Statements/2017-financial-statements-en.pdf,https://www.nestle.com/media/mediaeventscalendar/allevents/2025-annual-report,Nestlé S.A. targeted annual report,Configured filing target for Nestlé S.A.,2017-financial-statements-en.pdf,8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a,.cache/pdf/8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a.pdf,annual_report,3,2017.0,downloaded,
nestle,https://www.nestle.com/sites/default/files/2020-02/2019-financial-statements-en.pdf,https://www.nestle.com/media/mediaeventscalendar/allevents/2025-annual-report,Nestlé S.A. targeted annual report,Configured filing target for Nestlé S.A.,2019-financial-statements-en.pdf,9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410,.cache/pdf/9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410.pdf,annual_report,3,2019.0,downloaded,
nestle,https://www.nestle.com/sites/default/files/2022-02/2021-financial-statements-en.pdf,https://www.nestle.com/media/mediaeventscalendar/allevents/2025-annual-report,Nestlé S.A. targeted annual report,Configured filing target for Nestlé S.A.,2021-financial-statements-en.pdf,612204283a79b31191a40cf4d71d2b78b08cd33b7776e55a492b711e2f028faf,.cache/pdf/612204283a79b31191a40cf4d71d2b78b08cd33b7776e55a492b711e2f028faf.pdf,annual_report,3,2021.0,downloaded,
nestle,https://www.nestle.com/sites/default/files/2024-02/2023-financial-statements-en.pdf,https://www.nestle.com/media/mediaeventscalendar/allevents/2025-annual-report,Nestlé S.A. targeted annual report,Configured filing target for Nestlé S.A.,2023-financial-statements-en.pdf,b4b71d8027210bcc31361bee01b94c6e6af0c4d92a91c0fa356f584af497d6af,.cache/pdf/b4b71d8027210bcc31361bee01b94c6e6af0c4d92a91c0fa356f584af497d6af.pdf,annual_report,3,2023.0,downloaded,
nestle,https://www.nestle.com/sites/default/files/2026-02/financial-statements-2025-en.pdf,https://www.nestle.com/media/mediaeventscalendar/allevents/2025-annual-report,Nestlé S.A. targeted annual report,Configured filing target for Nestlé S.A.,financial-statements-2025-en.pdf,8045fcce3038da3d3bef927fecfcf2091706f1a481016a282afcfa9de52778a4,.cache/pdf/8045fcce3038da3d3bef927fecfcf2091706f1a481016a282afcfa9de52778a4.pdf,annual_report,3,2025.0,downloaded,
heineken,https://www.heinekenholding.com/sites/heinekenholding-v2/files/heineken-holding/governance/agm/ava/heineken-nv/2020/heineken-nv-2019-jaarverslag-uitsluitend-engelse-versie.pdf,https://www.theheinekencompany.com/newsroom/heineken-nv-reports-2025-full-year-results/,Heineken N.V. targeted annual report,Configured filing target for Heineken N.V.,heineken-nv-2019-jaarverslag-uitsluitend-engelse-versie.pdf,cca80d203bfccb86a381b20bb7641ad3f24ee218104fed0e07d230020484e494,.cache/pdf/cca80d203bfccb86a381b20bb7641ad3f24ee218104fed0e07d230020484e494.pdf,annual_report,3,2019.0,downloaded,
heineken,https://www.theheinekencompany.com/newsroom/download/77d23296-7009-42fe-829e-a9b009fb3835/heinekenn.v.2025fypressrelease.pdf,https://www.theheinekencompany.com/newsroom/heineken-nv-reports-2025-full-year-results/,HEINEKEN N.V. 2025 FY Press Release,HEINEKEN N.V. 2025 FY Press Release,heinekenn.v.2025fypressrelease.pdf,c8de640d83bdedf2e97d0aa12ccc529ee5e6085a8f39e9ccf4d90291d4ed1049,.cache/pdf/c8de640d83bdedf2e97d0aa12ccc529ee5e6085a8f39e9ccf4d90291d4ed1049.pdf,results_release,1,2025.0,downloaded,
heineken,https://www.theheinekencompany.com/sites/heineken-corp/files/2026-02/2025_Heineken_NV_Annual_Report_Interactive_100226_FINAL.pdf,https://www.theheinekencompany.com/newsroom/heineken-nv-reports-2025-full-year-results/,Heineken N.V. targeted annual report,Configured filing target for Heineken N.V.,2025_Heineken_NV_Annual_Report_Interactive_100226_FINAL.pdf,2dee3a7ac14103566f798aff09ce15bc354815c0848d2831fcb99d71bdfad259,.cache/pdf/2dee3a7ac14103566f798aff09ce15bc354815c0848d2831fcb99d71bdfad259.pdf,annual_report,3,2025.0,downloaded,
heineken,https://www.theheinekencompany.com/sites/heineken-corp/files/heineken-corp/investors/governance/agm/2018/heineken-nv-annual-report-2017.pdf,https://www.theheinekencompany.com/newsroom/heineken-nv-reports-2025-full-year-results/,Heineken N.V. targeted annual report,Configured filing target for Heineken N.V.,heineken-nv-annual-report-2017.pdf,9bd4a750fe4b871c062b1c64d7198474a2a5c96841286f6e96a32a076398ba95,.cache/pdf/9bd4a750fe4b871c062b1c64d7198474a2a5c96841286f6e96a32a076398ba95.pdf,annual_report,3,2017.0,downloaded,
heineken,https://www.theheinekencompany.com/sites/heineken-corp/files/heineken-corp/investors/governance/agm/2024/heineken-nv-annual-report-2023.pdf,https://www.theheinekencompany.com/newsroom/heineken-nv-reports-2025-full-year-results/,Heineken N.V. targeted annual report,Configured filing target for Heineken N.V.,heineken-nv-annual-report-2023.pdf,1b35e06fb6f9b3ed93770966755327a0a6f6911275ef63321c113ba6e83d8ac3,.cache/pdf/1b35e06fb6f9b3ed93770966755327a0a6f6911275ef63321c113ba6e83d8ac3.pdf,annual_report,3,2023.0,downloaded,
