company,document_id,report_year,statement,page,row_order,row_kind,reported_label,footnote_marker,period_end,raw_value,currency,unit_multiplier,extraction_method,value_kind,effective_multiplier,value,cell_status,canonical_id,canonical_label,reported_occurrence,row_id,winner,winning_report_year,winning_document_id,winning_value,winning_cell_status,superseded,restated
heineken,9bd4a750fe4b871c062b1c64d7198474a2a5c96841286f6e96a32a076398ba95,2017,balance_sheet,60,14,line_item,Assets classified as held for sale,,2016-12-31,57,EUR,1000000,llm_structured,currency,1000000,57000000,number,assets classified as held for sale,Assets classified as held for sale,1,assets classified as held for sale::1,True,2017,9bd4a750fe4b871c062b1c64d7198474a2a5c96841286f6e96a32a076398ba95,57000000,number,False,False
heineken,9bd4a750fe4b871c062b1c64d7198474a2a5c96841286f6e96a32a076398ba95,2017,balance_sheet,60,14,line_item,Assets classified as held for sale,,2017-12-31,33,EUR,1000000,llm_structured,currency,1000000,33000000,number,assets classified as held for sale,Assets classified as held for sale,1,assets classified as held for sale::1,True,2017,9bd4a750fe4b871c062b1c64d7198474a2a5c96841286f6e96a32a076398ba95,33000000,number,False,False
heineken,cca80d203bfccb86a381b20bb7641ad3f24ee218104fed0e07d230020484e494,2019,balance_sheet,65,22,line_item,Assets classified as held for sale,,2018-12-31,401,EUR,1000000,llm_structured,currency,1000000,401000000,number,assets classified as held for sale,Assets classified as held for sale,1,assets classified as held for sale::1,True,2019,cca80d203bfccb86a381b20bb7641ad3f24ee218104fed0e07d230020484e494,401000000,number,False,False
heineken,cca80d203bfccb86a381b20bb7641ad3f24ee218104fed0e07d230020484e494,2019,balance_sheet,65,22,line_item,Assets classified as held for sale,,2019-12-31,111,EUR,1000000,llm_structured,currency,1000000,111000000,number,assets classified as held for sale,Assets classified as held for sale,1,assets classified as held for sale::1,True,2019,cca80d203bfccb86a381b20bb7641ad3f24ee218104fed0e07d230020484e494,111000000,number,False,False
heineken,c1a9a847a67b32fc1bce671ae2590e5e0a085c964c0c507a2500fc9713850cd8,2021,balance_sheet,72,25,line_item,Assets classified as held for sale,10.2,2020-12-31,24,EUR,1000000,llm_structured,currency,1000000,24000000,number,assets classified as held for sale,Assets classified as held for sale,1,assets classified as held for sale::1,True,2021,c1a9a847a67b32fc1bce671ae2590e5e0a085c964c0c507a2500fc9713850cd8,24000000,number,False,False
heineken,c1a9a847a67b32fc1bce671ae2590e5e0a085c964c0c507a2500fc9713850cd8,2021,balance_sheet,72,25,line_item,Assets classified as held for sale,10.2,2021-12-31,37,EUR,1000000,llm_structured,currency,1000000,37000000,number,assets classified as held for sale,Assets classified as held for sale,1,assets classified as held for sale::1,True,2021,c1a9a847a67b32fc1bce671ae2590e5e0a085c964c0c507a2500fc9713850cd8,37000000,number,False,False
heineken,1b35e06fb6f9b3ed93770966755327a0a6f6911275ef63321c113ba6e83d8ac3,2023,balance_sheet,76,27,line_item,Assets classified as held for sale,10.2,2022-12-31,315,EUR,1000000,llm_structured_native_pdf_text,currency,1000000,315000000,number,assets classified as held for sale,Assets classified as held for sale,1,assets classified as held for sale::1,True,2023,1b35e06fb6f9b3ed93770966755327a0a6f6911275ef63321c113ba6e83d8ac3,315000000,number,False,False
heineken,1b35e06fb6f9b3ed93770966755327a0a6f6911275ef63321c113ba6e83d8ac3,2023,balance_sheet,76,27,line_item,Assets classified as held for sale,10.2,2023-12-31,28,EUR,1000000,llm_structured_native_pdf_text,currency,1000000,28000000,number,assets classified as held for sale,Assets classified as held for sale,1,assets classified as held for sale::1,True,2023,1b35e06fb6f9b3ed93770966755327a0a6f6911275ef63321c113ba6e83d8ac3,28000000,number,False,False
heineken,2dee3a7ac14103566f798aff09ce15bc354815c0848d2831fcb99d71bdfad259,2025,balance_sheet,85,26,line_item,Assets classified as held for sale,10.2,2024-12-31,55,EUR,1000000,llm_structured,currency,1000000,55000000,number,assets classified as held for sale,Assets classified as held for sale,1,assets classified as held for sale::1,True,2025,2dee3a7ac14103566f798aff09ce15bc354815c0848d2831fcb99d71bdfad259,55000000,number,False,False
heineken,2dee3a7ac14103566f798aff09ce15bc354815c0848d2831fcb99d71bdfad259,2025,balance_sheet,85,26,line_item,Assets classified as held for sale,10.2,2025-12-31,22,EUR,1000000,llm_structured,currency,1000000,22000000,number,assets classified as held for sale,Assets classified as held for sale,1,assets classified as held for sale::1,True,2025,2dee3a7ac14103566f798aff09ce15bc354815c0848d2831fcb99d71bdfad259,22000000,number,False,False
