line_item,occurrence,currency,value_kind,unit_multiplier,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31
Sales,1,CHF,currency,1000000,89469,89791,91439,92568,84343,87088,94424,92998,91354,89490
Other revenue,1,CHF,currency,1000000,317,330,311,297,338,382,356,353,366,395
Cost of goods sold,1,CHF,currency,1000000,-44199,-44923,-46070,-46647,-42971,-45468,-51745,-50328,-48670,-48694
Distribution expenses,1,CHF,currency,1000000,-8059,-8205,-8469,-8496,-7861,-7919,-8386,-7765,-7567,-7306
Marketing and administration expenses,1,CHF,currency,1000000,-21485,-20540,-20003,-19790,-17370,-17294,-16850,-17549,-18112,-17883
Research and development costs,1,CHF,currency,1000000,-1736,-1724,-1687,-1672,-1576,-1670,-1696,-1656,-1667,-1613
Other trading income,1,CHF,currency,1000000,99,111,37,163,238,171,107,132,124,135
Other trading expenses,1,CHF,currency,1000000,-713,-1607,-1769,-2749,-908,-3131,-3015,-1665,-1195,-1849
Trading operating profit,1,CHF,currency,1000000,13693,13233,13789,13674,14233,12159,13195,14520,14633,12675
Other operating income,1,CHF,currency,1000000,354,379,2535,3717,1919,698,340,298,474,253
Other operating expenses,1,CHF,currency,1000000,-884,-3500,-2572,-1313,-1356,-1178,-1209,-755,-383,-651
Operating profit,1,CHF,currency,1000000,13163,10112,13752,16078,14796,11679,12326,14063,14724,12277
Financial income,1,CHF,currency,1000000,121,152,247,200,109,80,210,284,358,300
Financial expense,1,CHF,currency,1000000,-758,-771,-1008,-1216,-983,-953,-1250,-1644,-1843,-1826
"Profit before taxes, associates and joint ventures",1,CHF,currency,1000000,12526,9493,12991,15062,13922,10806,11286,12703,13239,10751
Taxes,1,CHF,currency,1000000,-4413,-2779,-3439,-3159,-3365,-2261,-2730,-2314,-3314,-2640
Income from associates and joint ventures,1,CHF,currency,1000000,770,824,916,1001,1815,8651,1040,1120,1249,1143
Profit for the year,1,CHF,currency,1000000,8883,7538,10468,12904,12372,17196,9596,11509,11174,9254
   of which attributable to non-controlling interests,1,CHF,currency,1000000,352,355,333,295,140,291,326,300,290,221
   of which attributable to shareholders of the parent (Net profit),1,CHF,currency,1000000,8531,7183,10135,12609,12232,16905,9270,11209,10884,9033
Trading operating profit,2,,percent,1,15.3,14.7,15.1,14.8,16.9,14.0,14.0,15.6,16.0,14.2
Profit for the year attributable to shareholders of the parent (Net profit),1,,percent,1,9.5,8.0,11.1,13.6,14.5,19.4,9.8,12.1,11.9,10.1
Basic earnings per share,1,CHF,currency_per_share,1,2.76,2.32,3.36,4.30,4.30,6.06,3.42,4.24,4.19,3.51
Diluted earnings per share,1,CHF,currency_per_share,1,2.75,2.32,3.36,4.30,4.29,6.06,3.42,4.23,4.19,3.51
