company,report_year,statement,source_sha256,observation_document_matches_source,source_page,extracted_rows,extracted_cells,missing_labels,missing_values,status
nestle,2017,income_statement,8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a,True,8,24,48,0,0,passed
nestle,2017,balance_sheet,8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a,True,10-11,43,86,0,0,passed
nestle,2017,cash_flow,8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a,True,12,33,66,0,0,passed
nestle,2019,income_statement,9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410,True,6,24,48,0,0,passed
nestle,2019,balance_sheet,9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410,True,8-9,43,86,0,0,passed
nestle,2019,cash_flow,9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410,True,10,34,68,0,0,passed
nestle,2021,income_statement,612204283a79b31191a40cf4d71d2b78b08cd33b7776e55a492b711e2f028faf,True,6,24,48,0,0,passed
nestle,2021,balance_sheet,612204283a79b31191a40cf4d71d2b78b08cd33b7776e55a492b711e2f028faf,True,8-9,42,84,0,0,passed
nestle,2021,cash_flow,612204283a79b31191a40cf4d71d2b78b08cd33b7776e55a492b711e2f028faf,True,10,37,74,0,0,passed
nestle,2023,income_statement,b4b71d8027210bcc31361bee01b94c6e6af0c4d92a91c0fa356f584af497d6af,True,6,24,48,0,0,passed
nestle,2023,balance_sheet,b4b71d8027210bcc31361bee01b94c6e6af0c4d92a91c0fa356f584af497d6af,True,8-9,44,88,0,0,passed
nestle,2023,cash_flow,b4b71d8027210bcc31361bee01b94c6e6af0c4d92a91c0fa356f584af497d6af,True,10,34,68,0,0,passed
nestle,2025,income_statement,8045fcce3038da3d3bef927fecfcf2091706f1a481016a282afcfa9de52778a4,True,6,24,48,0,0,passed
nestle,2025,balance_sheet,8045fcce3038da3d3bef927fecfcf2091706f1a481016a282afcfa9de52778a4,True,8-9,44,88,0,0,passed
nestle,2025,cash_flow,8045fcce3038da3d3bef927fecfcf2091706f1a481016a282afcfa9de52778a4,True,10,37,74,0,0,passed
heineken,2017,income_statement,9bd4a750fe4b871c062b1c64d7198474a2a5c96841286f6e96a32a076398ba95,True,58,22,44,0,0,passed
heineken,2017,balance_sheet,9bd4a750fe4b871c062b1c64d7198474a2a5c96841286f6e96a32a076398ba95,True,60,37,74,0,0,passed
heineken,2017,cash_flow,9bd4a750fe4b871c062b1c64d7198474a2a5c96841286f6e96a32a076398ba95,True,61-62,48,96,0,0,passed
heineken,2019,income_statement,cca80d203bfccb86a381b20bb7641ad3f24ee218104fed0e07d230020484e494,True,64,24,48,0,0,passed
heineken,2019,balance_sheet,cca80d203bfccb86a381b20bb7641ad3f24ee218104fed0e07d230020484e494,True,65,33,66,0,0,passed
heineken,2019,cash_flow,cca80d203bfccb86a381b20bb7641ad3f24ee218104fed0e07d230020484e494,True,66,45,89,0,0,passed
heineken,2021,income_statement,c1a9a847a67b32fc1bce671ae2590e5e0a085c964c0c507a2500fc9713850cd8,True,71,24,48,0,0,passed
heineken,2021,balance_sheet,c1a9a847a67b32fc1bce671ae2590e5e0a085c964c0c507a2500fc9713850cd8,True,72,33,66,0,0,passed
heineken,2021,cash_flow,c1a9a847a67b32fc1bce671ae2590e5e0a085c964c0c507a2500fc9713850cd8,True,73,44,88,0,0,passed
heineken,2023,income_statement,1b35e06fb6f9b3ed93770966755327a0a6f6911275ef63321c113ba6e83d8ac3,True,75,19,38,0,0,passed
heineken,2023,balance_sheet,1b35e06fb6f9b3ed93770966755327a0a6f6911275ef63321c113ba6e83d8ac3,True,76,34,68,0,0,passed
heineken,2023,cash_flow,1b35e06fb6f9b3ed93770966755327a0a6f6911275ef63321c113ba6e83d8ac3,True,77,47,94,0,0,passed
heineken,2025,income_statement,2dee3a7ac14103566f798aff09ce15bc354815c0848d2831fcb99d71bdfad259,True,84,23,46,0,0,passed
heineken,2025,balance_sheet,2dee3a7ac14103566f798aff09ce15bc354815c0848d2831fcb99d71bdfad259,True,85,33,66,0,0,passed
heineken,2025,cash_flow,2dee3a7ac14103566f798aff09ce15bc354815c0848d2831fcb99d71bdfad259,True,86,44,88,0,0,passed
unilever,2017,income_statement,a8ef8fdd207ac63cee6af97ab6012d39ff9a6aa449cd4948309dcc47654c57c3,True,89,18,54,0,0,passed
unilever,2017,balance_sheet,a8ef8fdd207ac63cee6af97ab6012d39ff9a6aa449cd4948309dcc47654c57c3,True,91,39,78,0,0,passed
unilever,2017,cash_flow,a8ef8fdd207ac63cee6af97ab6012d39ff9a6aa449cd4948309dcc47654c57c3,True,92,44,132,0,0,passed
unilever,2019,income_statement,39114615f11b0ea05e12bb04558b8ba1e417db6e7114b88d5c288e73f234c8a8,True,90,20,60,0,0,passed
unilever,2019,balance_sheet,39114615f11b0ea05e12bb04558b8ba1e417db6e7114b88d5c288e73f234c8a8,True,92,39,117,0,0,passed
unilever,2019,cash_flow,39114615f11b0ea05e12bb04558b8ba1e417db6e7114b88d5c288e73f234c8a8,True,93,45,135,0,0,passed
unilever,2021,income_statement,25a4c72b6ae964841619dd59f9f857cfb798ad126da7286ce0e5d6e0ecf34694,True,117,20,60,0,0,passed
unilever,2021,balance_sheet,25a4c72b6ae964841619dd59f9f857cfb798ad126da7286ce0e5d6e0ecf34694,True,119,35,70,0,0,passed
unilever,2021,cash_flow,25a4c72b6ae964841619dd59f9f857cfb798ad126da7286ce0e5d6e0ecf34694,True,120,44,132,0,0,passed
unilever,2023,income_statement,d572ce64ca74378a6b60208d27288263fb17c26c0d06d954c1ef3b8439eb1cc1,True,176,18,54,0,0,passed
unilever,2023,balance_sheet,d572ce64ca74378a6b60208d27288263fb17c26c0d06d954c1ef3b8439eb1cc1,True,178,35,70,0,0,passed
unilever,2023,cash_flow,d572ce64ca74378a6b60208d27288263fb17c26c0d06d954c1ef3b8439eb1cc1,True,179,43,129,0,0,passed
unilever,2025,income_statement,dcdc67ff84977e2beeb6b7a8113b6862fae1880838c613eceac42ba4b605d9d7,True,131,33,99,0,0,passed
unilever,2025,balance_sheet,dcdc67ff84977e2beeb6b7a8113b6862fae1880838c613eceac42ba4b605d9d7,True,134,35,70,0,0,passed
unilever,2025,cash_flow,dcdc67ff84977e2beeb6b7a8113b6862fae1880838c613eceac42ba4b605d9d7,True,135,51,153,0,0,passed
