line_item,occurrence,currency,value_kind,unit_multiplier,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31
Goodwill,1,EUR,currency,1000000,17624,16881,17341,18067,18942,20330,21609,21109,22311,17709
Intangible assets,1,EUR,currency,1000000,9809,11520,12152,12962,15999,18261,18880,18357,18590,17055
"Property, plant and equipment",1,EUR,currency,1000000,11673,10411,12088,12062,10558,10347,10770,10707,11669,8992
Pension asset for funded schemes in surplus,1,EUR,currency,1000000,694,2173,1728,2422,2722,5119,4260,3781,4164,4462
Deferred tax assets,1,EUR,currency,1000000,1354,1085,1152,1336,1474,1465,1049,1113,1280,1146
Financial assets,1,EUR,currency,1000000,673,675,642,874,876,1198,1154,1386,1571,3065
Other non-current assets,1,EUR,currency,1000000,718,557,530,653,931,974,942,911,971,976
Non-current assets,1,EUR,currency,1000000,42545,43302,45633,48376,51502,57694,58664,57364,60556,53405
Inventories,1,EUR,currency,1000000,4278,3962,4301,4164,4462,4683,5931,5119,5177,4043
Trade and other current receivables,1,EUR,currency,1000000,5102,5222,6482,6695,4939,5422,7056,5775,6011,7346
Current tax assets,1,EUR,currency,1000000,317,488,472,397,372,324,381,427,373,329
Cash and cash equivalents,1,EUR,currency,1000000,3382,3317,3230,4185,5548,3415,4326,4159,6136,3941
Other financial assets,1,EUR,currency,1000000,599,770,874,907,808,1156,1435,1731,1330,1121
Assets held for sale,1,EUR,currency,1000000,206,3224,119,82,28,2401,28,691,167,286
Current assets,1,EUR,currency,1000000,13884,16983,15478,16430,16157,17401,19157,17902,19194,17066
Total assets,1,EUR,currency,1000000,56429,60285,61111,64806,67659,75095,77821,75266,79750,70471
Financial liabilities,1,EUR,currency,1000000,5450,7968,3613,4691,4461,7252,5775,5087,6987,2582
Trade payables and other current liabilities,1,EUR,currency,1000000,13871,13426,14457,14768,14132,14861,18023,16857,16690,16939
Current tax liabilities,1,EUR,currency,1000000,844,1088,1445,898,1451,1365,877,851,678,1439
Provisions,1,EUR,currency,1000000,390,525,624,620,547,480,748,537,831,589
Liabilities held for sale,1,EUR,currency,1000000,1,170,11,1,1,820,4,175,48,113
Current liabilities,1,EUR,currency,1000000,20556,23177,20150,20978,20592,24778,25427,23507,25234,21662
Financial liabilities,2,EUR,currency,1000000,11145,16462,23125,23566,22844,22881,23713,24535,25066,25696
Non-current tax liabilities,1,EUR,currency,1000000,120,118,174,182,149,148,94,384,585,303
Funded schemes in deficit,1,EUR,currency,1000000,2163,1225,1209,1157,1109,831,613,351,173,100
Unfunded schemes,1,EUR,currency,1000000,1704,1509,1393,1461,1326,1295,1078,1029,1021,844
Provisions,2,EUR,currency,1000000,1033,794,697,664,583,611,550,563,571,539
Deferred tax liabilities,1,EUR,currency,1000000,2061,1913,1900,2573,3166,4530,4375,3995,4342,3603
Other non-current liabilities,1,EUR,currency,1000000,667,700,346,339,235,275,270,138,203,137
Non-current liabilities,1,EUR,currency,1000000,18893,22721,28844,29942,29412,30571,30693,30995,31961,31222
Total liabilities,1,EUR,currency,1000000,39449,45898,48994,50920,50004,55349,56120,54502,57195,52884
Called up share capital,1,EUR,currency,1000000,484,484,464,420,,,,,,
Share premium account,1,EUR,currency,1000000,134,130,129,134,,,,,,
Other reserves,1,EUR,currency,1000000,-7443,-13633,-15218,-5574,,,,,,
Retained profit,1,EUR,currency,1000000,23179,26648,26022,18212,,,,,,
Shareholders’ equity,1,EUR,currency,1000000,16354,13629,11397,13192,15266,17107,19021,18102,19990,15530
Non-controlling interests,1,EUR,currency,1000000,626,758,720,694,2389,2639,2680,2662,2565,2057
Total equity,1,EUR,currency,1000000,16980,14387,12117,13886,17655,19746,21701,20764,22555,17587
Total liabilities and equity,1,EUR,currency,1000000,56429,60285,61111,64806,67659,75095,77821,75266,79750,70471
