line_item,occurrence,currency,value_kind,unit_multiplier,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31
Turnover,1,EUR,currency,1000000,52713,53715,50982,51980,50724,52444,60073,51680,52479,50503
Operating profit,1,EUR,currency,1000000,7801,8957,12639,8708,8303,8702,10755,8998,8829,9037
of which: (loss)/gain on disposal of group companies(b),1,EUR,currency,1000000,,,,,,,,491,-229,-36
Net finance costs,1,EUR,currency,1000000,-563,-1004,-608,-627,-505,-354,-493,-409,-520,-503
Pensions and similar obligations,1,EUR,currency,1000000,-94,-96,-25,-30,-9,-10,44,121,83,123
Finance income,1,EUR,currency,1000000,115,157,135,224,232,147,281,393,391,398
Finance costs,1,EUR,currency,1000000,-584,-683,-718,-821,-728,-491,-818,-922,-994,-1024
Net monetary loss arising from hyperinflationary economies,1,EUR,currency,1000000,,,,,,,,-169,-201,-68
Share of net profit of joint ventures and associates,1,EUR,currency,1000000,127,155,185,176,175,191,208,228,250,245
Other income/(loss) from non-current investments and associates,1,EUR,currency,1000000,91,18,22,,3,91,24,-22,13,-17
Profit before taxation from continuing operations,1,EUR,currency,1000000,,,,,,,,8627,8371,8693
Taxation,1,EUR,currency,1000000,-1922,-1670,-2572,-2263,-1923,-1935,-2068,-1990,-2332,-2481
Net profit from continuing operations,1,EUR,currency,1000000,,,,,,,,6637,6039,6213
Profit after taxation from discontinued operations,1,EUR,currency,1000000,,,,,,,,503,330,425
Gain on disposal of discontinued operations,1,EUR,currency,1000000,,,,,,,,,,3373
Net profit from discontinued operations,1,EUR,currency,1000000,,,,,,,,503,330,3798
Total net profit,1,EUR,currency,1000000,,,,,,,,7140,6369,10011
Non-controlling interests,1,EUR,currency,1000000,363,433,419,401,492,572,627,653,625,542
Shareholders’ equity,1,EUR,currency,1000000,5184,6023,9369,5625,5581,6049,7642,6487,5744,9469
Continuing operations,1,EUR,currency,1000000,,,,,,,,6002,5430,5682
Discontinued operations,1,EUR,currency,1000000,,,,,,,,485,314,3787
Continuing operations,2,EUR,currency,1000000,,,,,,,,635,609,531
Discontinued operations,2,EUR,currency,1000000,,,,,,,,18,16,11
Basic earnings per share (€),1,EUR,currency_per_share,1,1.83,2.15,3.49,2.15,2.13,2.33,3.00,2.90,2.59,4.33
Basic earnings per share (€) from continuing operations,1,EUR,currency_per_share,1,,,,,,,,2.68,2.45,2.60
Basic earnings per share (€) from discontinued operations,1,EUR,currency_per_share,1,,,,,,,,0.22,0.14,1.73
Diluted earnings per share (€),1,EUR,currency_per_share,1,1.82,2.14,3.48,2.14,2.12,2.32,2.99,2.89,2.58,4.32
Diluted earnings per share (€) from continuing operations,1,EUR,currency_per_share,1,,,,,,,,2.67,2.44,2.59
Diluted earnings per share (€) from discontinued operations,1,EUR,currency_per_share,1,,,,,,,,0.22,0.14,1.73
Gain on disposal of ekaterra,1,EUR,currency,1000000,,,,,,,2303,,,
Gain on disposal of Suave,1,EUR,currency,1000000,,,,,,,,497,,
Net monetary gain/(loss) arising from hyperinflationary economies,1,EUR,currency,1000000,,,,,,-74,-157,-142,,
Profit before taxation,1,EUR,currency,1000000,7469,8126,12360,8289,7996,8556,10337,9339,,
Net profit,1,EUR,currency,1000000,5547,6456,9788,6026,6073,6621,8269,7140,,
Which includes non-underlying item credits/(charges) of,1,EUR,currency,1000000,,-543,3176,-1239,-1064,-934,,,,
Which includes non-underlying costs of,1,EUR,currency,1000000,,,,,-56,10,,,,
Non-underlying item net monetary gain/(loss) arising from hyperinflationary economies,1,EUR,currency,1000000,,,122,32,20,-74,,,,
Which includes non-underlying item credits/(charges) of,2,EUR,currency,1000000,,,32,3,,,,,,
Which includes tax impact of non-underlying items of,1,EUR,currency,1000000,,655,-288,113,126,178,,,,
Net finance cost non-underlying items,1,EUR,currency,1000000,,-382,,,,,,,,
After (charging)/crediting non-underlying items,1,EUR,currency,1000000,-823,-543,,,,,,,,
After crediting tax impact of non-underlying items,1,EUR,currency,1000000,213,655,,,,,,,,
