company,statement,csv_row,line_item,occurrence,currency,value_kind,unit_multiplier,period_end,published_value,expected_from_lineage,lineage_matches,output_status,winning_report_year,winning_document_id,source_page,reported_label,raw_value
nestle,income_statement,2,Sales,1,CHF,currency,1000000,2016-12-31,89469,89469,1,matched,2017,8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a,8,Sales,89 469
nestle,income_statement,2,Sales,1,CHF,currency,1000000,2017-12-31,89791,89791,1,matched,2017,8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a,8,Sales,89 791
nestle,income_statement,2,Sales,1,CHF,currency,1000000,2018-12-31,91439,91439,1,matched,2019,9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410,6,Sales,91 439
nestle,income_statement,2,Sales,1,CHF,currency,1000000,2019-12-31,92568,92568,1,matched,2019,9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410,6,Sales,92 568
nestle,income_statement,2,Sales,1,CHF,currency,1000000,2020-12-31,84343,84343,1,matched,2021,612204283a79b31191a40cf4d71d2b78b08cd33b7776e55a492b711e2f028faf,6,Sales,84 343
nestle,income_statement,2,Sales,1,CHF,currency,1000000,2021-12-31,87088,87088,1,matched,2021,612204283a79b31191a40cf4d71d2b78b08cd33b7776e55a492b711e2f028faf,6,Sales,87 088
nestle,income_statement,2,Sales,1,CHF,currency,1000000,2022-12-31,94424,94424,1,matched,2023,b4b71d8027210bcc31361bee01b94c6e6af0c4d92a91c0fa356f584af497d6af,6,Sales,94 424
nestle,income_statement,2,Sales,1,CHF,currency,1000000,2023-12-31,92998,92998,1,matched,2023,b4b71d8027210bcc31361bee01b94c6e6af0c4d92a91c0fa356f584af497d6af,6,Sales,92 998
nestle,income_statement,2,Sales,1,CHF,currency,1000000,2024-12-31,91354,91354,1,matched,2025,8045fcce3038da3d3bef927fecfcf2091706f1a481016a282afcfa9de52778a4,6,Sales,91 354
nestle,income_statement,2,Sales,1,CHF,currency,1000000,2025-12-31,89490,89490,1,matched,2025,8045fcce3038da3d3bef927fecfcf2091706f1a481016a282afcfa9de52778a4,6,Sales,89 490
nestle,income_statement,3,Other revenue,1,CHF,currency,1000000,2016-12-31,317,317,1,matched,2017,8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a,8,Other revenue,317
nestle,income_statement,3,Other revenue,1,CHF,currency,1000000,2017-12-31,330,330,1,matched,2017,8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a,8,Other revenue,330
nestle,income_statement,3,Other revenue,1,CHF,currency,1000000,2018-12-31,311,311,1,matched,2019,9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410,6,Other revenue,311
nestle,income_statement,3,Other revenue,1,CHF,currency,1000000,2019-12-31,297,297,1,matched,2019,9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410,6,Other revenue,297
nestle,income_statement,3,Other revenue,1,CHF,currency,1000000,2020-12-31,338,338,1,matched,2021,612204283a79b31191a40cf4d71d2b78b08cd33b7776e55a492b711e2f028faf,6,Other revenue,338
nestle,income_statement,3,Other revenue,1,CHF,currency,1000000,2021-12-31,382,382,1,matched,2021,612204283a79b31191a40cf4d71d2b78b08cd33b7776e55a492b711e2f028faf,6,Other revenue,382
nestle,income_statement,3,Other revenue,1,CHF,currency,1000000,2022-12-31,356,356,1,matched,2023,b4b71d8027210bcc31361bee01b94c6e6af0c4d92a91c0fa356f584af497d6af,6,Other revenue,356
nestle,income_statement,3,Other revenue,1,CHF,currency,1000000,2023-12-31,353,353,1,matched,2023,b4b71d8027210bcc31361bee01b94c6e6af0c4d92a91c0fa356f584af497d6af,6,Other revenue,353
nestle,income_statement,3,Other revenue,1,CHF,currency,1000000,2024-12-31,366,366,1,matched,2025,8045fcce3038da3d3bef927fecfcf2091706f1a481016a282afcfa9de52778a4,6,Other revenue,366
nestle,income_statement,3,Other revenue,1,CHF,currency,1000000,2025-12-31,395,395,1,matched,2025,8045fcce3038da3d3bef927fecfcf2091706f1a481016a282afcfa9de52778a4,6,Other revenue,395
nestle,income_statement,4,Cost of goods sold,1,CHF,currency,1000000,2016-12-31,-44199,-44199,1,matched,2017,8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a,8,Cost of goods sold,(44 199)
nestle,income_statement,4,Cost of goods sold,1,CHF,currency,1000000,2017-12-31,-44923,-44923,1,matched,2017,8f47cb3d59aadd3895be903f5ae082ad2371dd3bf9f419c5a854f7af3be3e35a,8,Cost of goods sold,(44 923)
nestle,income_statement,4,Cost of goods sold,1,CHF,currency,1000000,2018-12-31,-46070,-46070,1,matched,2019,9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410,6,Cost of goods sold,(46 070)
nestle,income_statement,4,Cost of goods sold,1,CHF,currency,1000000,2019-12-31,-46647,-46647,1,matched,2019,9df923d9549e016108620003feebc27fff33b03444fd75872c1609b191236410,6,Cost of goods sold,(46 647)
